;UID Type Facing Kind X Y MapID

;Birth Village npcs
11111 505 0 2 61 105 1010
11112 3 6 2 80 62 1010
11113 4 6 2 76 55 1010
11114 8 6 2 72 50 1010
11115 5 6 2 66 46 1010
11116 17 0 2 70 37 1010
11117 13 0 2 74 37 1010
11118 18 0 2 85 41 1010
11119 269 0 2 96 42 1010
111110 19 0 2 88 31 1010
111111 820 7 2 59 106 1010

;TwinCity Shops
1 1 0 1 413 351 1002
3 3 0 1 466 327 1002
4 4 0 1 412 366 1002
5 5 0 1 452 330 1002
423 270 6 1 412 361 1002

;TwinCity Npcs
8 8 0 2 409 351 1002
11122 262 0 2 409 392 1002
11123 24 0 6 421 352 1002
11124 28 6 2 435 440 1002
11125 502 0 2 424 350 1002
11126 25 0 5 459 332 1002
11127 39 1 2 512 351 1002
11128 26 0 2 459 291 1002
12111 154 0 2 441 374 1002
12112 2 5 2 413 378 1002
12113 15 0 2 399 392 1002
12114 633 0 0 388 384 1002
12115 632 7 2 387 386 1002
12116 804 7 2 372 407 1002
12117 174 6 2 435 438 1002
12125 358 7 2 386 377 1002
12126 364 3 2 372 358 1002
12127 595 0 2 351 358 1002
12128 115 6 2 350 337 1002
12129 105 6 2 350 335 1002
12130 657 6 0 350 328 1002
12131 681 6 2 352 325 1002
12132 665 6 0 350 321 1002
12133 715 0 2 349 313 1002
12134 271 0 2 377 313 1002
12135 361 6 2 390 347 1002
12136 673 7 2 389 343 1002
12137 578 0 2 462 391 1002
12138 738 0 2 480 351 1002
12139 181 6 2 413 385 1002
12140 945 7 2 410 387 1002
12141 415 0 2 422 396 1002
12142 688 6 2 424 343 1002
12143 840 0 2 423 323 1002
12144 357 0 2 447 331 1002
12145 596 0 2 474 332 1002
12147 759 0 2 471 330 1002
12148 182 0 2 473 325 1002
12149 363 7 2 472 309 1002
12150 31 0 2 451 291 1002
12151 472 6 2 579 294 1002
12152 719 0 2 400 288 1002
12153 807 0 2 400 284 1002
12154 136 0 2 436 241 1002
12155 727 1 2 443 242 1002
12156 724 0 2 458 233 1002
12157 457 7 2 391 235 1002
12158 652 0 2 393 235 1002
12159 699 0 2 396 233 1002
12160 562 0 2 361 459 1002
12161 551 0 2 603 672 1002
12162 812 6 2 409 370 1002

;Stable
13111 584 4 0 33 34 1006
13112 585 4 0 29 34 1006
13113 586 4 0 25 34 1006
13114 764 4 0 21 34 1006
13115 767 0 0 17 22 1006
13116 633 0 0 24 22 1006
13117 764 0 0 32 22 1006
13118 320 6 2 19 27 1006
13119 583 6 2 19 29 1006
13120 622 4 2 38 34 1006

;Phoenix Castle
15111 413 7 2 182 280 1011
15112 675 3 2 184 282 1011
15113 716 6 2 178 271 1011
15114 683 0 2 194 260 1011
15116 758 7 2 182 241 1011
15117 132 0 2 154 238 1011
15118 641 0 2 209 255 1011
15119 36 0 2 178 224 1011
15120 842 0 2 182 214 1011
15121 757 6 2 214 231 1011
15122 631 0 2 211 195 1011
15123 35 0 6 242 237 1011
15124 21 0 2 226 243 1011
15125 28 7 2 228 255 1011
15126 175 7 2 227 257 1011
15127 721 7 233 278 1011
15128 828 0 2 324 188 1011
15129 684 0 2 200 325 1011
15130 597 0 39 373 1011
15131 718 7 2 775 415 1011
15132 921 0 2 810 458 1011
15133 600 0 2 804 461 1011
15134 414 0 2 788 456 1011
15135 819 0 2 783 456 1011
15136 723 6 2 779 467 1011
15137 676 6 2 779 477 1011

;SpaceMarks
15311 27 7 2 790 462 1011

;Phoenix Castle Shops
15211 993 7 1 168 238 1011
15121 22 0 1 197 226 1011
15115 3 6 1 189 252 1011

;Ape City NPCs
16111 642 0 2 553 559 1020
16113 672 6 2 556 571 1020
16114 687 6 2 553 584 1020
16115 552 0 2 552 601 1020
16116 728 0 2 543 544 1020
16118 8 0 2 576 542 1020
16119 922 0 2 568 275 1020
16120 629 6 2 535 533 1020
16123 737 1 2 570 511 1020
16124 131 4 2 532 480 1020
16125 922 0 2 568 525 1020
16126 176 6 2 566 620 1020
16127 28 6 2 566 622 1020
16128 670 0 2 880 562 1020
16129 674 1 0 870 552 1020
16130 674 3 0 881 550 1020
16131 674 5 0 888 563 1020
16132 674 2 0 904 574 1020
16133 674 0 0 888 572 1020
16134 821 7 2 448 396 1020
16135 216 6 2 436 312 1020
16136 237 7 2 368 309 1020
16137 729 0 2 88 387 1020
16138 734 0 2 441 451 1020
16139 117 5 2 520 887 1020
16140 751 7 2 375 21 1020

;Ape City Shops
16112 11 7 1 557 559 1020
16117 3 0 1 550 542 1020
16121 1 0 1 530 510 1020
16122 5 0 1 560 508 1020

;Desert City NPCs
17111 418 6 2 471 641 1000
17112 419 6 2 471 645 1000
17113 967 7 2 462 634 1000
17116 8 0 2 471 629 1000
17117 177 0 2 476 631 1000
17118 28 0 2 478 631 1000
17135 603 0 2 461 588 1000
17131 829 0 2 486 618 1000
17132 391 0 2 490 618 1000
17136 401 6 2 472 578 1000
17137 546 2 2 495 578 1000
17138 475 0 2 512 588 1000
17140 624 7 2 519 620 1000
17141 362 0 2 522 602 1000
17142 405 6 2 465 658 1000
17143 407 0 2 461 661 1000
17144 373 2 2 461 667 1000
17146 402 7 2 86 313 1000
17147 179 7 2 81 318 1000
17148 602 6 2 77 326 1000
17149 623 2 2 454 242 1000
17150 730 0 2 479 261 1000
17151 841 6 2 470 273 1000

;Desert City Shops
17114 1 0 1 468 631 1000
17115 993 6 1 467 633 1000
17133 990 6 1 491 613 1000
17134 11 7 1 491 605 1000
17130 5 6 1 485 621 1000
17119 988 6 1 486 625 1000
17139 3 0 1 511 630 1000
17152 3 0 1 518 253 1000

;Bird Island NPCs
18111 768 5 2 715 584 1015
18112 643 0 2 714 561 1015
18113 403 0 2 725 541 1015
18115 8 0 2 716 541 1015
18116 601 0 2 707 545 1015
18117 461 7 2 686 547 1015
18118 394 6 2 685 599 1015
18119 626 3 0 701 595 1015
18120 843 6 2 699 595 1015
18121 691 6 2 761 588 1015
18122 390 4 2 766 562 1015
18123 625 1 2 743 515 1015
18124 395 1 2 732 516 1015

;Bird Island Shops
18114 1 0 1 721 541 1015
18123 4 6 1 755 562 1015
18124 3 0 1 765 743 1015
18125 5 0 1 765 544 1015

;Market Npcs
11181 41 7 2 215 220 1036
11182 427 6 2 179 183 1036 
44 8 7 3 182 180 1036
11183 668 0 2 320 224 1036
11184 504 4 2 193 212 1036 
11185 501 4 2 179 208 1036
11186 950 0 2 178 192 1036
11187 169 6 19 139 139 1036
11188 811 9 2 184 103 1036
11189 806 0 2 199 87 1036
111810 808 6 2 141 107 1036
111811 429 4 2 242 242 1036
111812 241 0 2 252 242 1036
111815 14 6 2 212 211 1036
111816 333 6 2 178 182 1036
111817 160 0 2 192 193 1036
111818 106 7 2 185 170 1036
111819 143 2 2 240 256 1036
111820 836 0 2 298 217 1036
111821 762 4 2 240 248 1036
111822 621 7 2 97 192 1036
14111 923 0 2 212 188 1036
14112 322 7 2 212 184 1036
14113 941 0 2 189 212 1036

;Market Shops
141 3 2 1 198 181 1036
433 33 0 1 204 179 1036
432 139 0 1 212 179 1036

;Mark.Shop Stalls
14114 108 6 0 230 173 1036
14115 108 6 0 230 177 1036
14116 108 6 0 230 181 1036
14117 108 6 0 230 185 1036
14118 108 6 0 230 189 1036
14119 108 6 0 230 193 1036
14121 108 6 0 230 201 1036
14122 108 6 0 230 205 1036
14123 108 6 0 230 209 1036
14124 108 6 0 230 217 1036
14125 108 6 0 237 181 1036
14126 108 6 0 237 185 1036
14127 108 6 0 237 189 1036
14128 108 6 0 237 193 1036
14129 108 6 0 237 197 1036
14130 108 6 0 237 201 1036
14131 108 6 0 269 194 1036
14132 108 6 0 262 182 1036
14133 108 6 0 262 186 1036
14134 108 6 0 262 190 1036
14135 108 6 0 262 194 1036
14136 108 6 0 262 198 1036
14137 108 6 0 262 202 1036
14138 108 6 0 262 206 1036
14139 108 6 0 262 210 1036
14140 108 6 0 262 214 1036
14141 108 6 0 262 218 1036
14142 108 6 0 269 186 1036
14143 108 6 0 269 190 1036
14144 108 6 0 237 177 1036
14145 108 6 0 269 178 1036
14146 108 6 0 262 178 1036
14147 108 6 0 269 182 1036
14148 108 6 0 237 173 1036
14149 108 6 0 269 174 1036
14150 108 6 0 262 174 1036
14151 108 6 0 205 137 1036
14152 108 6 0 205 142 1036
14153 108 6 0 198 137 1036
14154 108 6 0 198 142 1036
14155 108 6 0 205 127 1036
14156 108 6 0 205 132 1036
14157 108 6 0 198 132 1036
14158 108 6 0 205 147 1036
14159 108 6 0 205 152 1036
14160 108 6 0 198 127 1036
14161 108 6 0 198 147 1036
14162 108 6 0 198 152 1036
14163 108 6 0 173 127 1036
14164 108 6 0 173 132 1036
14165 108 6 0 173 137 1036
14166 108 6 0 173 142 1036
14167 108 6 0 166 127 1036
14168 108 6 0 166 132 1036
14169 108 6 0 166 137 1036
14170 108 6 0 166 142 1036
14171 108 6 0 173 147 1036
14172 108 6 0 166 147 1036
14173 108 6 0 166 152 1036
14174 108 6 0 173 152 1036
14175 108 6 0 157 173 1036
14176 108 6 0 150 173 1036
14177 108 6 0 157 177 1036
14178 108 6 0 150 177 1036
14179 108 6 0 157 181 1036
14180 108 6 0 150 181 1036
14181 108 6 0 157 185 1036
14182 108 6 0 150 185 1036
14183 108 6 0 157 189 1036
14184 108 6 0 150 189 1036
14185 108 6 0 157 193 1036
14186 108 6 0 157 197 1036
14187 108 6 0 150 193 1036
14188 108 6 0 150 197 1036
14189 108 6 0 157 201 1036
14190 108 6 0 157 205 1036
14191 108 6 0 150 201 1036
14192 108 6 0 150 205 1036
14193 108 6 0 157 209 1036
14194 108 6 0 157 213 1036
14195 108 6 0 150 209 1036
14196 108 6 0 150 213 1036
14197 108 6 0 157 217 1036
14198 108 6 0 150 217 1036
14199 108 6 0 125 201 1036
14200 108 6 0 125 205 1036
14201 108 6 0 125 209 1036
14202 108 6 0 125 213 1036
14203 108 6 0 125 217 1036
14204 108 6 0 118 201 1036
14205 108 6 0 118 205 1036
14206 108 6 0 118 209 1036
14207 108 6 0 118 213 1036
14208 108 6 0 118 217 1036
14209 108 6 0 125 193 1036
14210 108 6 0 125 197 1036
14211 108 6 0 118 193 1036
14212 108 6 0 118 197 1036
14213 108 6 0 125 185 1036
14214 108 6 0 125 189 1036
14215 108 6 0 118 185 1036
14216 108 6 0 118 189 1036
14217 108 6 0 125 177 1036
14218 108 6 0 118 177 1036
14219 108 6 0 125 181 1036
14220 108 6 0 118 181 1036
14221 108 6 0 125 173 1036
14222 108 6 0 118 173 1036
14223 108 6 0 178 243 1036
14224 108 6 0 178 248 1036
14225 108 6 0 178 253 1036
14226 108 6 0 178 258 1036
14227 108 6 0 178 263 1036
14228 108 6 0 178 268 1036
14229 108 6 0 185 243 1036
14230 108 6 0 185 248 1036
14231 108 6 0 185 253 1036
14232 108 6 0 185 258 1036
14233 108 6 0 185 263 1036
14234 108 6 0 185 268 1036
14235 108 6 0 210 263 1036
14236 108 6 0 210 268 1036
14237 108 6 0 210 253 1036
14238 108 6 0 210 258 1036
14239 108 6 0 217 253 1036
14240 108 6 0 217 258 1036
14241 108 6 0 217 263 1036
14242 108 6 0 217 268 1036
14243 108 6 0 210 248 1036
14244 108 6 0 217 248 1036
14245 108 6 0 210 243 1036
14246 108 6 0 217 243 1036
14247 108 6 0 237 217 1036
14248 108 6 0 230 213 1036
14249 108 6 0 237 213 1036
14250 108 6 0 269 210 1036
14251 108 6 0 237 209 1036
14252 108 6 0 269 206 1036
14253 108 6 0 237 205 1036
14254 108 6 0 269 198 1036
14255 108 6 0 269 202 1036
14256 108 6 0 269 214 1036
14257 108 6 0 269 218 1036
14258 108 6 0 230 197 1036

;Equipment coloring room Npcs
11191 503 0 2 27 16 1008

;Jail npc
11200 38 0 2 35 69 6000
